Tipo,Casa,Preço,Destaque,Link,Área (m²),Quartos,Banheiros,UF
Casa à venda,Vende Casa No Agua Azul Bom Sucesso ,90000,Sim,https://casa.mercadolivre.com.br/MLB-5216413770-vende-casa-no-agua-azul-bom-sucesso-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,125.0,2,1, São Paulo
Casa à venda,"Sobrado Com 3 Dormitórios Três Banheiros, Com Um Acabamento Impecável. Ambientes Internos Amplos E Bem Iluminados.",600000,Sim,https://casa.mercadolivre.com.br/MLB-3930323657-sobrado-com-3-dormitorios-trs-banheiros-com-um-acabamento-impecavel-ambientes-internos-amplos-e-bem-iluminados-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,175.0,3,3, São Paulo
Casa à venda,"Sobrado Com 3 Dormitórios, Sendo 1 Suíte. Todos Os Ambientes Com Ar Condicionado Quente/frio. Casa Com Móveis Planejados, Sala Ampla E Garagem Para Dois Automóveis. ",650000,Sim,https://casa.mercadolivre.com.br/MLB-3934715541-sobrado-com-3-dormitorios-sendo-1-suite-todos-os-ambientes-com-ar-condicionado-quentefrio-casa-com-moveis-planejados-sala-ampla-e-garagem-para-dois-automoveis-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,146.0,3,3, São Paulo
Casa à venda,"Casa Nova, Setor Iate, 167m² Térrea, Financiamento!",1250000,Sim,https://casa.mercadolivre.com.br/MLB-3933632579-casa-nova-setor-iate-167m-terrea-financiamento-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,167.0,3,4, São Paulo
Casa à venda,"Casa Com Dois Terrenos, Oportunidade Única!!!",170000,Sim,https://casa.mercadolivre.com.br/MLB-3932451913-casa-com-dois-terrenos-oportunidade-unica-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,566.0,2,1, Rio Grande Do Sul
Casa à venda,Casa Cidade Dutra - Prox Papini,800000,Sim,https://casa.mercadolivre.com.br/MLB-5219275770-casa-cidade-dutra-prox-papini-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,180.0,2,2, São Paulo
Casa à venda,Casa A 600mts Do Mar Meia Praia Itapema,1550000,Sim,https://casa.mercadolivre.com.br/MLB-5221869390-casa-a-600mts-do-mar-meia-praia-itapema-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,120.0,4,3, Santa Catarina
Casa à venda,Casa Com Piscina À Venda Na Deslumbrante Praia De Peruíbe.,780000,Sim,https://casa.mercadolivre.com.br/MLB-3918200611-casa-com-piscina-venda-na-deslumbrante-praia-de-peruibe-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,141.0,3,3, São Paulo
Casa à venda,"Sobrado Em Condomínio De 2 Dormitórios, Sala, Cozinha, Garagem, R$ 340 Mil, Ocian, Praia Grande. (sb0050)",340000,Sim,https://casa.mercadolivre.com.br/MLB-5220568866-sobrado-em-condominio-de-2-dormitorios-sala-cozinha-garagem-r-340-mil-ocian-praia-grande-sb0050-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,58.0,2,2, São Paulo
Casa à venda,Vende-se Casa Em Suzano Com 4 Casas De 2 Cômodos Investimento Com Renda,375000,Sim,https://casa.mercadolivre.com.br/MLB-3924769045-vende-se-casa-em-suzano-com-4-casas-de-2-cmodos-investimento-com-renda-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,134.0,4,4, São Paulo
